page_id,page_name,disclaimer,amount_spent_ron,party,affil,label,notes,link_ad_library,link_fb_page
310803225451939,Alegerea de AUR,Alegerea de AUR,159918,AUR,pro-AUR,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=310803225451939,https://www.facebook.com/310803225451939
109849657256655,60m.RO,60m.RO,159739,AUR,pro-AUR,proxy,media but not media,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=109849657256655,https://www.facebook.com/109849657256655
1657273667820719,USR București,USR București,152809,USR,pro-USR,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1657273667820719,https://www.facebook.com/1657273667820719
278117815576023,EU Justice and Consumers,EU Justice and Consumers,152602,,,,EU page,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=278117815576023,https://www.facebook.com/278117815576023
336513669713770,PSD Brasov,PSD Brasov,135575,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=336513669713770,https://www.facebook.com/336513669713770
821269587938298,Alina Gorghiu,Alina Gorghiu,125785,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=821269587938298,https://www.facebook.com/821269587938298
114460923709287,4media.INFO,4media.INFO,122516,,pro-CG/ pro-AUR,proxy,media platform where anyone can publish and do so anonymously if preferred  ,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=114460923709287,https://www.facebook.com/114460923709287
1602563209957356,PNL Bacău,Nine Dots Unlimited SRL,115584,PNL,pro-PNL,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1602563209957356,https://www.facebook.com/1602563209957356
1769713886444816,Râsu Plânsu,Râsu Plânsu,114669,,anti-Lasconi,proxy,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1769713886444816,https://www.facebook.com/1769713886444816
858367900895256,Alexandru Marius Dunca,PSD Brașov,112755,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=858367900895256,https://www.facebook.com/858367900895256
147115405150941,informat.ro,Strategic Media Team srl,112058,,,media,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=147115405150941,https://www.facebook.com/147115405150941
100712539310513,5news.RO,5news.RO,104095,Ind,pro-CG,proxy,media but not media?,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=100712539310513,https://www.facebook.com/100712539310513
291177524360702,Partidul Social Democrat,Partidul Social Democrat,100399,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=291177524360702,https://www.facebook.com/291177524360702
273636162494213,Partidul DREPT,Partidul DREPT,99874,DREPT,pro-DREPT,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=273636162494213,https://www.facebook.com/273636162494213
167163410062102,Ana Birchall,Digitalee (Brand Conversations),99428,Ind,pro-Birchall,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=167163410062102,https://www.facebook.com/167163410062102
1723480164579572,USR Brașov,USR Brașov,97792,USR,pro-USR,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1723480164579572,https://www.facebook.com/1723480164579572
100580925140105,Ion Iordache,Ion Iordache,95574,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=100580925140105,https://www.facebook.com/100580925140105
450984311422724,În slujba Țării,Partidul Național Liberal,93984,PNL,pro-Ciuca,,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=450984311422724,https://www.facebook.com/450984311422724
557284874779877,Mihai Coteț,Mihai Coteț,92234,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=557284874779877,https://www.facebook.com/557284874779877
971907786352729,USR Cluj,USR Cluj,90406,USR,pro-Lasconi,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=971907786352729,https://www.facebook.com/971907786352729
