Advertiser_ID,Advertiser_Name,Spend_Range_Min_RON,party,label,,ggl_link
AR03381007051504222209,Partidul Uniunea Salvati Romania,1174500,USR,Political Party,,https://adstransparency.google.com/advertiser/AR03381007051504222209?region=RO&topic=political&preset-date=Last+30+days
AR01861182914755035137,Partidul Social Democrat - PSD,1033500,PSD,Political Party,,https://adstransparency.google.com/advertiser/AR01861182914755035137?region=RO&topic=political&preset-date=Last+30+days
AR09970582546905300993,Uniunea Salvati Romania,552000,USR,Political Party,,https://adstransparency.google.com/advertiser/AR09970582546905300993?region=RO&topic=political&preset-date=Last+30+days
AR17063588510738415617,CASIMO SIBINVEST S.R.L.,485250,PNL,proxy,,https://adstransparency.google.com/advertiser/AR17063588510738415617?region=RO&topic=political&preset-date=Last+30+days
AR17075749830896123905,Partidul National Liberal,421500,PNL,Political Party,,https://adstransparency.google.com/advertiser/AR17075749830896123905?region=RO&topic=political&preset-date=Last+30+days
AR08697647149103448065,Atelierul de internet SRL,359750,REPER,proxy,this proxy appears several times in the Meta data set but supporting different parties,https://adstransparency.google.com/advertiser/AR08697647149103448065?region=RO&topic=political&preset-date=Last+30+days
AR11638935792440573953,PARTIDUL ALIANȚA PENTRU UNIREA ROMÂNILOR,347000,AUR,Political Party,,https://adstransparency.google.com/advertiser/AR11638935792440573953?region=RO&topic=political&preset-date=Last+30+days
AR05099393470582226945,Branding Digital Strategy,183750,PNL,proxy,,https://adstransparency.google.com/advertiser/AR05099393470582226945?region=RO&topic=political&preset-date=Last+30+days
AR16212804726905896961,PARTIDUL SOCIAL DEMOCRAT ORGANIZATIA JUDETEANA DOLJ,139750,PSD,Political Party,,https://adstransparency.google.com/advertiser/AR16212804726905896961?region=RO&topic=political&preset-date=Last+30+days
AR15198738638805401601,Trusca Design Consult SRL,127000,USR,proxy,,https://adstransparency.google.com/advertiser/AR15198738638805401601?region=RO&topic=political&preset-date=Last+30+days
AR06940937458397741057,Brand Care Marketing Agency S.R.L.,122500,UDMR,proxy,,https://adstransparency.google.com/advertiser/AR06940937458397741057?region=RO&topic=political&preset-date=Last+30+days
AR00318207461171396609,NINE DOTS UNLIMITED S.R.L.,96750,PNL,proxy,,https://adstransparency.google.com/advertiser/AR00318207461171396609?region=RO&topic=political&preset-date=Last+30+days
